,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,1810,1646,1085,495,2117,1323,combine
ATMMut71_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0
ATMMut42_T2,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut123_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
ATMMut153_T29,2.0,5.0,6.0,8.0,3.0,3.0,3.0,8.0,2.0,29.0,8.0,7.0,5.0,7.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
ATMMut85_T1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0
ATMMut69_T16,2.0,2.0,4.0,19.0,14.0,19.0,19.0,19.0,4.0,30.0,30.0,30.0,19.0,19.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut39_T1,12.0,5.0,1.0,1.0,11.0,5.0,5.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,4.0,5.0,4.0,4.0,4.0,29.0,4.0
ATMMut133_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0
ATMMut171_T11,2.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,29.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut78_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0
ATMMut135_T5,3.0,29.0,30.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0
ATMMut19_T6,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut186_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATMMut125_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut49_T23,2.0,2.0,4.0,26.0,6.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut18_T29,2.0,2.0,4.0,29.0,8.0,29.0,29.0,29.0,4.0,30.0,30.0,30.0,29.0,29.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ATMMut145_T2,2.0,30.0,30.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
ATMMut200_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0
