class2Mut70_T2,17,0.068
class2Mut71_T8,5,0.02
class2Mut72_T14,3,0.012
class2Mut73_T3,3,0.012
class2Mut74_T3,3,0.012
class2Mut75_T10,3,0.012
class2Mut76_T8,5,0.02
class2Mut77_T14,3,0.012
class2Mut78_T7,3,0.012
class2Mut79_T7,4,0.016
class2Mut80_T8,3,0.012
class2Mut81_T1,3,0.012
class2Mut82_T3,3,0.012
class2Mut83_T15,3,0.012
class2Mut84_T1,3,0.012
class2Mut85_T2,3,0.012
class2Mut86_T12,21,0.084
class2Mut87_T10,3,0.012
class2Mut88_T12,3,0.012
class2Mut89_T10,3,0.012
class2Mut90_T0,5,0.02
class2Mut91_T12,3,0.012
class2Mut92_T10,3,0.012
class2Mut93_T2,3,0.012
class2Mut94_T15,5,0.02
class2Mut95_T11,4,0.016
class2Mut96_T15,17,0.068
class2Mut97_T14,3,0.012
class2Mut98_T12,3,0.012
class2Mut99_T9,5,0.02
class2Mut101_T15,3,0.012
class2Mut102_T2,17,0.068
class2Mut103_T10,3,0.012
class2Mut104_T13,45,0.18
class2Mut105_T2,3,0.012
class2Mut106_T15,17,0.068
class2Mut107_T7,7,0.028
class2Mut108_T8,3,0.012
class2Mut109_T3,3,0.012
class2Mut110_T2,14,0.056
class2Mut111_T7,3,0.012
class2Mut112_T13,3,0.012
class2Mut113_T3,3,0.012
class2Mut114_T1,3,0.012
class2Mut115_T13,3,0.012
class2Mut116_T0,6,0.024
class2Mut117_T11,20,0.08
class2Mut118_T8,23,0.092
class2Mut119_T7,3,0.012
class2Mut120_T0,3,0.012
class2Mut121_T13,3,0.012
class2Mut122_T8,3,0.012
class2Mut123_T2,3,0.012
class2Mut124_T9,5,0.02
class2Mut125_T9,21,0.084
class2Mut126_T14,3,0.012
class2Mut127_T12,3,0.012
class2Mut128_T14,3,0.012
class2Mut129_T0,6,0.024
class2Mut130_T11,4,0.016
class2Mut131_T12,6,0.024
class2Mut132_T14,3,0.012
class2Mut133_T10,3,0.012
class2Mut134_T0,6,0.024
class2Mut135_T9,23,0.092
class2Mut136_T14,3,0.012
class2Mut137_T2,3,0.012
class2Mut138_T13,4,0.016
