,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,1387,375,1729,526,2300,600,1208,67,1371,combine
RM1Mut128_T42,13.0,17.0,8.0,91.0,20.0,20.0,20.0,89.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,7.0,6.0,9.0,5.0,11.0,6.0,4.0,5.0,17.0,7.0
RM1Mut142_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,76.0,66.0,75.0,64.0,76.0,66.0,66.0,66.0,72.0,55.0
RM1Mut31_T48,1.0,29.0,22.0,2.0,29.0,29.0,29.0,22.0,29.0,29.0,29.0,29.0,23.0,30.0,29.0,30.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,13.0,1.0
RM1Mut146_T68,71.0,71.0,71.0,37.0,71.0,71.0,71.0,35.0,63.0,71.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,63.0,72.0,61.0,73.0,63.0,63.0,63.0,69.0,52.0
RM1Mut103_T68,71.0,71.0,71.0,37.0,71.0,71.0,71.0,35.0,63.0,71.0,71.0,71.0,71.0,73.0,73.0,71.0,73.0,63.0,72.0,61.0,73.0,63.0,63.0,63.0,69.0,52.0
RM1Mut167_T76,76.0,76.0,76.0,42.0,76.0,76.0,76.0,40.0,68.0,76.0,76.0,76.0,76.0,78.0,78.0,76.0,78.0,68.0,77.0,66.0,78.0,68.0,68.0,68.0,74.0,57.0
RM1Mut132_T46,28.0,28.0,28.0,106.0,28.0,28.0,28.0,99.0,28.0,28.0,28.0,28.0,22.0,28.0,28.0,27.0,1.0,14.0,5.0,13.0,6.0,17.0,17.0,25.0,15.0,2.0
RM1Mut110_T48,1.0,29.0,22.0,2.0,29.0,29.0,29.0,22.0,29.0,29.0,29.0,29.0,23.0,30.0,29.0,30.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,13.0,1.0
RM1Mut15_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,5.0,3.0,17.0,3.0,8.0,3.0,3.0,3.0,6.0,3.0
RM1Mut174_T64,69.0,69.0,69.0,35.0,69.0,69.0,69.0,33.0,61.0,69.0,69.0,69.0,69.0,71.0,71.0,69.0,71.0,61.0,70.0,59.0,71.0,61.0,61.0,61.0,67.0,50.0
RM1Mut17_T74,74.0,74.0,74.0,40.0,74.0,74.0,74.0,38.0,66.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,76.0,66.0,75.0,64.0,76.0,66.0,66.0,66.0,72.0,55.0
RM1Mut35_T66,5.0,7.0,4.0,89.0,7.0,7.0,7.0,97.0,7.0,7.0,8.0,8.0,24.0,7.0,7.0,7.0,5.0,3.0,17.0,3.0,8.0,3.0,3.0,3.0,6.0,3.0
